query,vo,dataset_version,percentage,throughput
tpch_query03,vo1,jcch_unordered10,77.0,5795454.545454545
tpch_query03,vo1,jcch_unordered10,78.0,5795454.545454545
tpch_query03,vo1,jcch_unordered10,79.0,5666666.666666667
tpch_query03,vo1,jcch_unordered10,80.0,5795454.545454545
tpch_query03,vo1,jcch_unordered10,81.0,5751879.69924812
tpch_query03,vo1,jcch_unordered10,82.0,5625000.0
tpch_query03,vo1,jcch_unordered10,83.0,5583941.605839416
tpch_query03,vo1,jcch_unordered10,84.0,5625000.0
tpch_query03,vo1,jcch_unordered10,85.0,5708955.223880597
tpch_query03,vo1,jcch_unordered10,86.0,5666666.666666667
tpch_query03,vo1,jcch_unordered10,87.0,5666666.666666667
tpch_query03,vo1,jcch_unordered10,88.0,5583941.605839416
tpch_query03,vo1,jcch_unordered10,89.0,5625000.0
tpch_query03,vo1,jcch_unordered10,90.0,5666666.666666667
tpch_query03,vo1,jcch_unordered10,91.0,5666666.666666667
tpch_query03,vo1,jcch_unordered10,92.0,5625000.0
tpch_query03,vo1,jcch_unordered10,93.0,5625000.0
tpch_query03,vo1,jcch_unordered10,94.0,5625000.0
tpch_query03,vo1,jcch_unordered10,95.0,5625000.0
tpch_query03,vo1,jcch_unordered10,96.0,5625000.0
tpch_query03,vo1,jcch_unordered10,97.0,5625000.0
tpch_query03,vo1,jcch_unordered10,98.0,5583941.605839416
tpch_query03,vo1,jcch_unordered10,99.0,5583941.605839416
tpch_query03,vo1,jcch_unordered10,100.0,5617647.05882353
tpch_query03,vo1,tpch10,1.0,11769230.76923077
tpch_query03,vo1,tpch10,2.0,10928571.42857143
tpch_query03,vo1,tpch10,3.0,12540983.606557377
tpch_query03,vo1,tpch10,4.0,8225806.451612904
tpch_query03,vo1,tpch10,5.0,7727272.727272727
tpch_query03,vo1,tpch10,6.0,9683544.303797469
tpch_query03,vo1,tpch10,7.0,6954545.454545455
tpch_query03,vo1,tpch10,8.0,7806122.448979592
tpch_query03,vo1,tpch10,9.0,10200000.0
tpch_query03,vo1,tpch10,10.0,8138297.872340426
tpch_query03,vo1,tpch10,11.0,4722222.222222223
tpch_query03,vo1,tpch10,12.0,6652173.913043478
tpch_query03,vo1,tpch10,13.0,5839694.656488549
tpch_query03,vo1,tpch10,14.0,9683544.303797469
tpch_query03,vo1,tpch10,15.0,9562500.0
tpch_query03,vo1,tpch10,16.0,9935064.935064934
tpch_query03,vo1,tpch10,17.0,6594827.586206897
tpch_query03,vo1,tpch10,18.0,9683544.303797469
tpch_query03,vo1,tpch10,19.0,2833333.3333333335
tpch_query03,vo1,tpch10,20.0,9807692.307692308
tpch_query03,vo1,tpch10,21.01,9562500.0
tpch_query03,vo1,tpch10,22.01,9444444.444444446
tpch_query03,vo1,tpch10,23.01,9107142.857142856
tpch_query03,vo1,tpch10,24.01,4273743.0167597765
tpch_query03,vo1,tpch10,25.01,8793103.448275862
tpch_query03,vo1,tpch10,26.01,9935064.935064934
tpch_query03,vo1,tpch10,27.01,9683544.303797469
tpch_query03,vo1,tpch10,28.01,9683544.303797469
tpch_query03,vo1,tpch10,29.01,9683544.303797469
tpch_query03,vo1,tpch10,30.01,9444444.444444446
tpch_query03,vo1,tpch10,31.01,9329268.292682927
tpch_query03,vo1,tpch10,32.01,4903846.153846154
tpch_query03,vo1,tpch10,33.01,8138297.872340426
tpch_query03,vo1,tpch10,34.01,9000000.0
tpch_query03,vo1,tpch10,35.01,9329268.292682927
tpch_query03,vo1,tpch10,36.01,1574074.0740740742
tpch_query03,vo1,tpch10,37.01,9444444.444444446
tpch_query03,vo1,tpch10,38.01,9107142.857142856
tpch_query03,vo1,tpch10,39.01,9216867.46987952
tpch_query03,vo1,tpch10,40.01,7500000.0
tpch_query03,vo1,tpch10,41.01,7886597.93814433
tpch_query03,vo1,tpch10,42.01,17000000.0
tpch_query03,vo1,tpch10,43.01,20131578.94736842
tpch_query03,vo1,tpch10,44.01,20675675.675675675
tpch_query03,vo1,tpch10,45.01,20131578.94736842
tpch_query03,vo1,tpch10,46.01,20675675.675675675
tpch_query03,vo1,tpch10,47.01,20675675.675675675
tpch_query03,vo1,tpch10,48.01,19615384.615384616
tpch_query03,vo1,tpch10,49.01,19615384.615384616
tpch_query03,vo1,tpch10,50.01,20131578.94736842
tpch_query03,vo1,tpch10,51.01,20131578.94736842
tpch_query03,vo1,tpch10,52.01,4090909.090909091
tpch_query03,vo1,tpch10,53.01,21250000.0
tpch_query03,vo1,tpch10,54.01,21250000.0
tpch_query03,vo1,tpch10,55.01,21250000.0
tpch_query03,vo1,tpch10,56.01,20675675.675675675
tpch_query03,vo1,tpch10,57.01,20675675.675675675
tpch_query03,vo1,tpch10,58.01,20675675.675675675
tpch_query03,vo1,tpch10,59.01,20675675.675675675
tpch_query03,vo1,tpch10,60.01,20675675.675675675
