rows,inserts,deletes,duration_ms
1732,1732,0,0.078908
173,173,0,0.201457
1,0,1,0.624189
6929,6929,0,0.321104
1732,1732,0,0.041919
173,173,0,0.172087
1,1,0,0.481409
6929,6929,0,0.309384
1732,1732,0,0.070732
173,173,0,0.196546
1,0,1,0.793408
6929,6929,0,0.310608
1732,1732,0,0.042217
173,173,0,0.187595
1,1,0,0.514954
6929,6929,0,0.300817
1732,1732,0,0.081324
173,173,0,0.195739
1,0,1,0.802275
6929,6929,0,0.306828
1732,1732,0,0.042751
173,173,0,0.185667
1,1,0,0.517473
6929,6929,0,0.312592
1732,1732,0,0.084199
173,173,0,0.198344
1,0,1,0.74306
6929,6929,0,0.311991
1732,1732,0,0.044385
173,173,0,0.177579
1,1,0,0.517645
6929,6929,0,0.311622
1732,1732,0,0.07689
173,173,0,0.204287
1,0,1,0.890339
6929,6929,0,0.312242
1732,1732,0,0.045206
173,173,0,0.179066
1,1,0,0.569945
6929,6929,0,0.315789
1732,1732,0,0.095049
173,173,0,0.200629
1,0,1,0.633032
6929,6929,0,0.336385
1732,1732,0,0.039468
173,173,0,0.182464
1,1,0,0.470158
6929,6929,0,0.319072
1732,1732,0,0.071207
173,173,0,0.20533
1,0,1,0.952962
6929,6929,0,0.296655
1732,1732,0,0.045275
173,173,0,0.186809
1,1,0,0.621826
6929,6929,0,0.351516
1732,1732,0,0.08348
173,173,0,0.203634
1,0,1,0.924771
6929,6929,0,0.324653
1732,1732,0,0.041138
173,173,0,0.181919
1,1,0,0.595744
6929,6929,0,7.93185
1732,1732,0,0.114064
173,173,0,0.230442
1,0,1,1.23463
6929,6929,0,0.295029
1732,1732,0,0.050024
173,173,0,0.213712
1,1,0,0.709458
6929,6929,0,0.279716
1732,1732,0,0.111506
173,173,0,0.216796
1,0,1,1.24969
6929,6929,0,0.300593
1732,1732,0,0.055898
173,173,0,0.218251
1,1,0,0.777941
6929,6929,0,0.309797
1732,1732,0,0.096462
173,173,0,0.210145
1,0,1,1.15096
6929,6929,0,0.273148
1732,1732,0,0.044633
173,173,0,0.194528
1,1,0,0.722306
6929,6929,0,0.287873
1732,1732,0,0.09311
173,173,0,0.225467
1,0,1,1.21088
6929,6929,0,0.27921
1732,1732,0,0.041338
173,173,0,0.197312
1,1,0,0.772473
6929,6929,0,0.313446
1732,1732,0,0.096259
173,173,0,0.214305
1,0,1,1.05608
6929,6929,0,0.278737
1732,1732,0,0.04267
173,173,0,1.29844
1,1,0,1.79535
6929,6929,0,0.327516
1732,1732,0,1.46836
173,173,0,0.196347
1,0,1,1.17083
6929,6929,0,0.298498
1732,1732,0,0.04519
173,173,0,0.184419
1,1,0,0.80404
6929,6929,0,0.306588
1732,1732,0,0.084984
173,173,0,0.192689
1,0,1,1.1253
6929,6929,0,0.314959
1732,1732,0,0.041186
173,173,0,0.187313
1,1,0,0.744359
6929,6929,0,0.30695
1732,1732,0,0.086397
173,173,0,0.183539
1,0,1,1.11069
6929,6929,0,0.314123
1732,1732,0,0.043841
173,173,0,0.184289
1,1,0,0.709852
6929,6929,0,0.309722
1732,1732,0,0.076738
173,173,0,0.18751
1,0,1,1.06134
6929,6929,0,0.314618
1732,1732,0,0.042236
173,173,0,0.178224
1,1,0,0.717657
6929,6929,0,0.314802
1732,1732,0,0.095762
173,173,0,0.192574
1,0,1,1.15961
6929,6929,0,0.306862
1732,1732,0,0.039172
173,173,0,0.188194
1,1,0,0.776176
6929,6929,0,0.319376
1732,1732,0,0.086909
173,173,0,0.200406
1,0,1,0.807102
6929,6929,0,0.308816
1732,1732,0,0.042894
173,173,0,0.175452
1,1,0,0.625682
6929,6929,0,0.309372
1732,1732,0,0.077445
173,173,0,0.197228
1,0,1,1.1337
6929,6929,0,0.334356
1732,1732,0,0.037303
173,173,0,0.187628
1,1,0,0.77547
6929,6929,0,0.32703
1732,1732,0,0.096618
173,173,0,0.210161
1,0,1,0.901374
6929,6929,0,0.306507
1732,1732,0,0.043058
173,173,0,0.180508
1,1,0,0.662736
6929,6929,0,0.320341
1732,1732,0,0.080788
173,173,0,0.201411
1,0,1,1.21555
6929,6929,0,0.318136
1732,1732,0,0.042448
173,173,0,0.18733
1,1,0,0.780454
6929,6929,0,0.335169
1732,1732,0,0.097922
173,173,0,0.195035
1,0,1,1.29939
6929,6929,0,0.328361
1732,1732,0,0.052597
173,173,0,0.193914
1,1,0,0.805589
6929,6929,0,0.310972
1732,1732,0,0.098717
173,173,0,0.203629
1,0,1,1.18553
6929,6929,0,0.355862
1732,1732,0,0.05298
173,173,0,0.18931
1,1,0,0.758229
6929,6929,0,0.320592
1732,1732,0,0.106523
173,173,0,0.201595
1,0,1,1.28836
6929,6929,0,0.311574
1732,1732,0,0.047252
173,173,0,0.193491
1,1,0,0.802308
6929,6929,0,0.321703
1732,1732,0,0.107481
173,173,0,0.200052
1,0,1,1.32869
6929,6929,0,0.332206
1732,1732,0,0.043376
173,173,0,0.195885
1,1,0,0.841185
6929,6929,0,0.337583
1732,1732,0,0.108737
173,173,0,0.208783
1,0,1,1.32361
6929,6929,0,0.330208
1732,1732,0,0.042719
173,173,0,0.188421
1,1,0,0.823735
6929,6929,0,0.335059
1732,1732,0,0.115366
173,173,0,0.211079
1,0,1,1.29507
6929,6929,0,0.32764
1732,1732,0,0.044741
173,173,0,0.188919
1,1,0,0.817696
6929,6929,0,0.339086
1732,1732,0,0.106084
173,173,0,0.207205
1,0,1,1.01768
6929,6929,0,0.322123
1732,1732,0,0.049882
173,173,0,0.193789
1,1,0,0.765932
6929,6929,0,0.32393
1732,1732,0,0.096883
173,173,0,0.207096
1,0,1,1.31263
6929,6929,0,0.325095
1732,1732,0,0.051147
173,173,0,0.195788
1,1,0,0.832656
6929,6929,0,0.341268
1732,1732,0,0.115642
173,173,0,0.201723
1,0,1,1.28382
6929,6929,0,0.361492
1732,1732,0,0.048349
173,173,0,0.201945
1,1,0,0.843473
6929,6929,0,0.345729
1732,1732,0,0.110678
173,173,0,0.209852
1,0,1,1.40042
6929,6929,0,0.338935
1732,1732,0,0.052206
173,173,0,0.199142
1,1,0,0.878904
