rows,inserts,deletes,duration_ms
6929,6929,0,0.348085
1732,1732,0,0.048777
173,173,0,0.148873
6929,6929,0,0.353169
1732,1732,0,0.054729
173,173,0,0.150251
6929,6929,0,0.360609
1732,1732,0,0.053879
173,173,0,0.153231
6929,6929,0,0.369443
1732,1732,0,0.053257
173,173,0,0.153708
6929,6929,0,0.3444
1732,1732,0,0.051433
173,173,0,0.150545
6929,6929,0,0.346617
1732,1732,0,0.062306
173,173,0,0.15193
6929,6929,0,0.352419
1732,1732,0,0.055377
173,173,0,0.15453
6929,6929,0,0.34899
1732,1732,0,0.054391
173,173,0,0.1526
6929,6929,0,0.354996
1732,1732,0,0.060829
173,173,0,0.151504
6929,6929,0,0.358649
1732,1732,0,0.053953
173,173,0,0.164619
6929,6929,0,0.368806
1732,1732,0,0.050381
173,173,0,0.156483
6929,6929,0,0.353919
1732,1732,0,0.049862
173,173,0,0.152825
6929,6929,0,0.350006
1732,1732,0,0.052067
173,173,0,0.160717
6929,6929,0,0.351285
1732,1732,0,0.062999
173,173,0,0.153721
6929,6929,0,0.352044
1732,1732,0,0.063397
173,173,0,0.148549
6929,6929,0,0.345683
1732,1732,0,0.060204
173,173,0,0.154798
6929,6929,0,0.346219
1732,1732,0,0.053149
173,173,0,0.160369
6929,6929,0,0.36094
1732,1732,0,0.073738
173,173,0,0.166989
6929,6929,0,0.349912
1732,1732,0,0.048182
173,173,0,0.171258
6929,6929,0,0.362627
1732,1732,0,0.061504
173,173,0,0.161481
6929,6929,0,0.371104
1732,1732,0,0.056958
173,173,0,0.15321
6929,6929,0,0.354715
1732,1732,0,0.057505
173,173,0,0.164285
6929,6929,0,0.349376
1732,1732,0,0.048996
173,173,0,0.160619
6929,6929,0,0.356134
1732,1732,0,0.060161
173,173,0,0.163205
6929,6929,0,0.350587
1732,1732,0,0.05603
173,173,0,0.177016
6929,6929,0,0.36323
1732,1732,0,0.05149
173,173,0,0.16973
6929,6929,0,0.362147
1732,1732,0,0.05574
173,173,0,0.167171
6929,6929,0,0.333982
1732,1732,0,0.056526
173,173,0,0.174433
6929,6929,0,0.340201
1732,1732,0,0.06338
173,173,0,0.174089
6929,6929,0,0.357218
1732,1732,0,0.057696
173,173,0,0.165006
6929,6929,0,0.339526
1732,1732,0,0.058402
173,173,0,0.174632
6929,6929,0,17.2111
1732,1732,0,0.083908
173,173,0,0.213595
6929,6929,0,0.327147
1732,1732,0,0.061261
173,173,0,0.192053
6929,6929,0,0.328296
1732,1732,0,0.074786
173,173,0,0.176955
6929,6929,0,0.298918
1732,1732,0,0.068538
173,173,0,0.176374
6929,6929,0,0.303831
1732,1732,0,0.058855
173,173,0,0.189336
6929,6929,0,0.309329
